batter,pressure_balls,pressure_exposure,total_runs,weighted_runs,total_boundaries,weighted_boundaries,dismissals,weighted_dismissals,pressure_avg_score_per_ball,pressure_adjusted_sr_raw,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,reliability_raw,pressure_adjusted_sr_reliable,pressure_adjusted_sr_reliable_norm,pressure_exposure_norm,pressure_boundary_rate_raw_norm,reliability_raw_norm,pressure_dismissal_rate_norm_temp,pressure_dismissal_rate_norm,batter_clutch_index,death_strike_rate,middle_strike_rate,pp_strike_rate,death_specialist_score,high_rrr_specialist_score,collapse_specialist_score,stabilizer_score,accelerator_score,reliability_label,risk_score_raw,reward_score_raw,risk_score_norm,reward_score_norm,risk_reward_profile,batter_role,strength_tags,weakness_tags,best_phase,death_finish_fit,high_pressure_chase_fit,collapse_situation_fit,controlled_chase_fit,comfortable_chase_fit,neutral_situation_fit
AA Jhunjhunwala,84,164.0,75,134.3,7,11.600000000000001,6,17.1,1.9523809523809523,81.89024390243902,0.07073170731707318,0.10426829268292684,84,87.60997507538072,0.1960251699451283,0.03971773103336397,0.14767923133776797,0.019787467936973252,0.2979094076655052,0.7020905923344948,0.18168267830938478,125.0,110.00000000000001,58.333333333333336,0.0,0.0,0.16945224351143795,0.3052286487260725,0.0,Low Reliability,0.10426829268292684,55.395253337911356,0.2979094076655052,0.18046347932372525,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Accelerator, Low Sample Confidence",Death,0.04838878976789218,0.04838878976789218,0.18339271543851626,0.19009863892115378,0.06754643099567932,0.07663056491114857
AB Agarkar,62,173.5,62,176.2,5,13.9,3,8.7,2.7983870967741935,101.55619596541786,0.08011527377521614,0.05014409221902017,62,99.62000287635753,0.28628993514300916,0.042286270480722435,0.16727098070037555,0.01172590692561378,0.14326883491148618,0.8567311650885139,0.23549587780609793,114.28571428571428,52.63157894736842,133.33333333333331,0.0,0.0,0.25921005306810346,0.41368368558957763,0.0,Low Reliability,0.05014409221902017,62.976612676823166,0.14326883491148618,0.25763473850534163,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Accelerator, Low Sample Confidence",Powerplay,0.06063285549036655,0.06063285549036655,0.2559630042246975,0.25785045140662005,0.08476873861725702,0.09654353250756194
AB Barath,43,42.9,42,26.700000000000003,6,3.6,2,3.0,0.9976744186046511,62.237762237762254,0.08391608391608392,0.06993006993006994,43,81.04494568300984,0.14668383231963622,0.006975612393878765,0.17520661157024797,0.004763649688530597,0.19980019980019978,0.8001998001998002,0.16708417461542704,40.0,100.0,111.11111111111111,0.0,0.0,0.0,0.0,0.0,Low Reliability,0.06993006993006994,51.98361076644926,0.19980019980019978,0.1457360984744846,Low Risk Stabilizer,Balanced Pressure Batter,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator, Low Sample Confidence",Powerplay,0.04248559110713635,0.04248559110713635,0.034131382376365,0.04272377359156288,0.059432191053105585,0.06778639978387695
AB McDonald,46,177.20000000000002,49,195.10000000000002,2,8.1,2,8.2,3.8521739130434787,110.10158013544017,0.04571106094808126,0.04627539503386004,46,103.39196727631652,0.3146392018174269,0.043286649002325206,0.09543915452493332,0.005862953462806889,0.13221541438245724,0.8677845856175428,0.23648678528735112,119.35483870967742,80.0,,0.0,0.0,0.2880829738360444,0.4250873342318289,0.0,Low Reliability,0.04627539503386004,63.86362280371316,0.13221541438245724,0.26666368507533394,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Accelerator, Low Sample Confidence",Powerplay,0.060001139341258815,0.060001139341258815,0.26968182316926625,0.26669144876274814,0.08394296554313427,0.09576730480750184
AB de Villiers,1482,1978.9,1999,2717.0,251,365.0,59,128.6,1.3352901484480433,137.29849916620344,0.18444590429026225,0.06498559805952801,1482,135.99042554608985,0.5596421468809415,0.5304169145081923,0.38510069107875977,0.5320630267497252,0.18567313731293716,0.8143268626870628,0.548947485596994,209.95475113122174,130.93858632676708,101.75879396984924,0.721044937533815,0.49028002422794803,0.5262205418476672,0.5585458914330828,0.48123351101530853,High Reliability,0.06498559805952801,88.9720914992644,0.18567313731293716,0.5222447832318036,Low Risk Stabilizer,Clutch Finisher,Death Specialist,No Major Weakness Tag,Death,0.6137015739542203,0.5094050373059482,0.5397236407291951,0.544384647120306,0.563061590569483,0.5682565919410952
AC Blizzard,61,64.6,77,60.6,14,12.100000000000001,5,8.6,1.0590163934426229,93.80804953560371,0.18730650154798764,0.13312693498452013,61,95.3445693150267,0.2541567034030061,0.012842697236792298,0.3910732714138288,0.011359472334188348,0.3803626713843432,0.6196373286156568,0.22655986523232916,,200.0,119.64285714285714,0.0,0.0,0.0,0.0,0.0,Low Reliability,0.13312693498452013,64.69900165093553,0.3803626713843432,0.2751670727465863,Low Risk Stabilizer,Balanced Pressure Batter,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator, Low Sample Confidence",Middle,0.05834388715821054,0.05834388715821054,0.04701589389659409,0.05891186077491996,0.08156784729815288,0.09289584055976935
AC Gilchrist,792,584.8,1126,675.3,184,119.1,36,34.0,0.7383838383838384,115.47537619699042,0.2036593707250342,0.058139534883720936,792,114.39127567733082,0.397307619127492,0.1534905099226734,0.4252160800895412,0.2792231586661781,0.16611295681063123,0.8338870431893688,0.3786757397678263,300.0,159.7883597883598,135.28428093645485,0.0,0.4731564744013313,0.0,0.0,0.45688882650531487,High Reliability,0.058139534883720936,76.78114023539986,0.16611295681063123,0.3981521215338579,Low Risk Stabilizer,Anchor / Stabilizer,No Strong Specialist Tag,"Weak at Death, Weak in Collapse, Poor Stabilizer",Death,0.20508573271768052,0.4171927638034788,0.11761862175349198,0.1505135666751922,0.3026033472783035,0.3019462225206324
AC Voges,44,84.9,43,79.7,3,6.4,3,8.7,1.9295454545454547,93.87514723203769,0.07538280329799764,0.10247349823321553,44,95.65385798410422,0.25648124998651833,0.01833126047693722,0.15739015597672842,0.005130084279956029,0.2927814235234729,0.7072185764765271,0.20135864577615017,,103.2258064516129,84.61538461538461,0.0,0.0,0.2345962994158189,0.32056534115078883,0.0,Low Reliability,0.10247349823321553,60.407626922382434,0.2927814235234729,0.23148482836029877,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Accelerator, Low Sample Confidence",Middle,0.051109174086030947,0.051109174086030947,0.2150210968512482,0.21048280758596863,0.07150154287764375,0.08156947516645127
AD Hales,66,72.3,96,105.89999999999999,14,16.0,3,3.0,1.0954545454545455,146.47302904564313,0.22130013831258646,0.04149377593360996,66,125.24289732162573,0.4788660547922998,0.01492456605201968,0.46204786453749125,0.0131916452913155,0.11855364552459986,0.8814463544754001,0.3539618970491849,,60.0,160.71428571428572,0.0,0.0,0.0,0.0,0.0,Low Reliability,0.04149377593360996,83.99774392547889,0.11855364552459986,0.47161050397982623,Low Risk Stabilizer,Balanced Pressure Batter,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator, Low Sample Confidence",Powerplay,0.09046922105599355,0.09046922105599355,0.0727711262035343,0.09112880332055932,0.12652499302547782,0.14422308787793708
AD Mascarenhas,32,80.89999999999999,35,74.0,3,2.7,6,16.8,2.5281249999999997,91.47095179233624,0.03337453646477133,0.20766378244746603,32,94.97593450793778,0.2513861241123452,0.017249770183312602,0.06968198674008319,0.0007328691828508618,0.5933250927070457,0.4066749072929543,0.15523412279933613,100.0,105.0,200.0,0.0,0.0,0.0,0.0,0.0,Low Reliability,0.20766378244746603,58.32054216335352,0.5933250927070457,0.21024022674296666,Moderate Profile,Balanced Pressure Batter,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator, Low Sample Confidence",Powerplay,0.038918461077261664,0.038918461077261664,0.031156754937294855,0.0389551045364042,0.054478516816337814,0.062240222956304624
