batter,bowler,balls,runs,dismissals,boundaries,strike_rate,dismissal_rate,boundary_rate,strike_rate_norm,boundary_rate_norm,dismissal_rate_temp,dismissal_rate_norm,batter_matchup_score,bowler_matchup_score
A Mishra,PP Ojha,6,2,0,0,33.33333333333333,0.0,0.0,0.0648148148148148,0.0,0.0,1.0,0.2824074074074074,0.7175925925925926
A Mishra,SC Ganguly,15,14,0,1,93.33333333333333,0.0,0.06666666666666667,0.18148148148148144,0.06666666666666667,0.0,1.0,0.3574074074074074,0.6425925925925926
A Mishra,SL Malinga,9,4,0,0,44.44444444444444,0.0,0.0,0.08641975308641973,0.0,0.0,1.0,0.29320987654320985,0.7067901234567902
A Mishra,SR Watson,8,2,0,0,25.0,0.0,0.0,0.048611111111111105,0.0,0.0,1.0,0.2743055555555556,0.7256944444444444
A Nehra,Harmeet Singh,6,7,0,1,116.66666666666667,0.0,0.16666666666666666,0.22685185185185183,0.16666666666666666,0.0,1.0,0.40509259259259256,0.5949074074074074
A Nehra,IK Pathan,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.75
A Nortje,WD Parnell,6,9,0,2,150.0,0.0,0.3333333333333333,0.29166666666666663,0.3333333333333333,0.0,1.0,0.47916666666666663,0.5208333333333334
A Symonds,A Mishra,22,36,2,3,163.63636363636365,0.09090909090909091,0.13636363636363635,0.3181818181818182,0.13636363636363635,0.21212121212121213,0.7878787878787878,0.39015151515151514,0.6098484848484849
A Symonds,AB Agarkar,15,23,1,2,153.33333333333334,0.06666666666666667,0.13333333333333333,0.2981481481481481,0.13333333333333333,0.15555555555555556,0.8444444444444444,0.3935185185185185,0.6064814814814815
A Symonds,AD Mathews,8,7,0,0,87.5,0.0,0.0,0.17013888888888887,0.0,0.0,1.0,0.3350694444444444,0.6649305555555556
A Symonds,DP Nannes,11,23,0,4,209.0909090909091,0.0,0.36363636363636365,0.4065656565656565,0.36363636363636365,0.0,1.0,0.5441919191919191,0.4558080808080809
A Symonds,DT Christian,7,3,0,0,42.857142857142854,0.0,0.0,0.08333333333333331,0.0,0.0,1.0,0.29166666666666663,0.7083333333333334
A Symonds,DW Steyn,6,11,0,2,183.33333333333331,0.0,0.3333333333333333,0.3564814814814814,0.3333333333333333,0.0,1.0,0.511574074074074,0.48842592592592604
A Symonds,JA Morkel,9,7,0,1,77.77777777777779,0.0,0.1111111111111111,0.15123456790123457,0.1111111111111111,0.0,1.0,0.3533950617283951,0.6466049382716049
A Symonds,KA Pollard,6,5,0,0,83.33333333333334,0.0,0.0,0.16203703703703703,0.0,0.0,1.0,0.3310185185185185,0.6689814814814815
