bowler,pressure_balls,pressure_exposure,total_runs_conceded,weighted_runs_conceded,wickets,weighted_wickets,dot_balls,weighted_dot_balls,pressure_avg_score_per_ball,pressure_economy_raw,pressure_dot_rate_raw,pressure_wicket_rate_raw,reliability_raw,pressure_economy_reliable,pressure_exposure_norm,pressure_dot_rate_raw_norm,pressure_wicket_rate_raw_norm,reliability_raw_norm,pressure_economy_norm_temp,pressure_economy_norm,bowler_clutch_index,death_economy,middle_economy,pp_economy,death_bowler_score,set_batter_control_score,momentum_breaker_score,reliability_label,risk_score_raw,reward_score_raw,risk_score_norm,reward_score_norm,risk_reward_profile,bowler_role,strength_tags,weakness_tags,best_phase,death_finish_fit,high_pressure_chase_fit,collapse_situation_fit,controlled_chase_fit,comfortable_chase_fit,neutral_situation_fit
Avesh Khan,610,1332.3,858,2104.3,37,75.2,223,431.6,2.184098360655738,9.476694438189599,0.3239510620731067,0.05644374390152369,610,9.490068164707205,0.2480565672055034,0.5221442031974216,0.3538272055054375,0.20499395892066052,0.5457590340070595,0.4542409659929405,0.3918865008109926,9.230769230769232,7.134146341463414,8.704545454545453,0.4437206849248874,0.39009871072959107,0.571177503448703,High Reliability,9.490068164707205,19.01974029873152,0.5457590340070595,0.601083019819216,Moderate Profile,Control Bowler,No Strong Specialist Tag,No Major Weakness Tag,Middle,0.414071652774352,0.4268173346267336,0.38974046643197774,0.3991744830305644,0.39926387253463447,0.3764536075396362
Azhar Mahmood,311,708.6,383,992.1,16,40.9,114,250.9,2.2784565916398716,8.400508044030483,0.3540784645780412,0.05771944679650014,311,8.574014911647037,0.11522160458330673,0.615849204895666,0.3637085116450886,0.08457511075312123,0.3529008719147222,0.6470991280852778,0.4481369899008062,9.573033707865168,6.492537313432836,6.545454545454545,0.36456967543782237,0.4743590697820171,0.530490642145621,High Reliability,8.574014911647037,20.589895568727066,0.3529008719147222,0.6909812380522095,High Impact Control,Control Bowler,High Impact Control,No Major Weakness Tag,Middle,0.36835046435703295,0.3849425610278128,0.4010730724786559,0.4179400624419797,0.41662895844791914,0.3779552953891497
B Kumar,2003,4431.6,2490,6168.3,85,185.9,836,1593.8,2.2124812780828758,8.351340373679934,0.3596443722357613,0.04194873183500316,2003,8.383047320941065,0.9081421847379296,0.6331607997612873,0.24155211991047193,0.7660088602496979,0.31269615844449294,0.6873038415555071,0.6283211422144386,8.94757281553398,8.296296296296296,6.567010309278351,0.6108184306870287,0.4414069190593733,0.5895068159150265,High Reliability,8.383047320941065,20.07965520353822,0.31269615844449294,0.6617677579731601,High Impact Control,Control Bowler,High Impact Control,No Major Weakness Tag,Powerplay,0.6352759307874811,0.633144769310281,0.5826758424573352,0.5851371677133255,0.5944828788710788,0.607215777406862
B Lee,354,740.5,434,1011.3,11,32.3,144,270.0,2.09180790960452,8.194193112761646,0.36461850101282917,0.043619176232275486,354,8.37476669140773,0.12201563265393055,0.6486317898483381,0.25449100446087314,0.1018928715263794,0.3109528242142703,0.6890471757857297,0.4502827024375752,9.075,7.216216216216216,6.720000000000001,0.3914487028249729,0.4685359513463543,0.6014690031122696,High Reliability,8.37476669140773,20.411883862255234,0.3109528242142703,0.680789293636115,High Impact Control,Control Bowler,High Impact Control,No Major Weakness Tag,Powerplay,0.39422687307642895,0.41522890310515864,0.4172306335083476,0.4337374626084684,0.4328248001630295,0.3869663776795011
BA Bhatt,186,375.6,234,486.3,12,19.4,62,115.4,2.0193548387096776,7.7683706070287535,0.30724174653887115,0.051650692225772094,186,8.167704721688343,0.044299618767703886,0.47017336235723983,0.316701311115942,0.034232782923882404,0.26735973529078483,0.7326402647092152,0.4238672484504055,7.928571428571429,8.152173913043478,6.545454545454545,0.0,0.4837196211501124,0.5367720935465017,Medium Reliability,8.167704721688343,17.94462193823216,0.26735973529078483,0.5395278177029669,Low Risk Support,Strike Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.19161754358315897,0.24529475293780917,0.3894696548092176,0.40595875945055837,0.402966140815573,0.27142574104876704
BA Stokes,291,724.9,384,1008.0,17,39.2,98,230.2,2.49106529209622,8.34321975444889,0.3175610429024693,0.05407642433439096,291,8.535303020398027,0.11869316124635275,0.5022693813591194,0.3354904834792194,0.07652033830044302,0.34475079529803865,0.6552492047019614,0.42234520263035147,8.754098360655739,8.047619047619047,7.269230769230768,0.3931330356649216,0.4329494727587567,0.541240398048,High Reliability,8.535303020398027,18.581873361843012,0.34475079529803865,0.5760132332817819,Low Risk Support,Control Bowler,No Strong Specialist Tag,No Major Weakness Tag,Powerplay,0.375160277159069,0.38997101339737683,0.3806707633928413,0.3974317931029165,0.39690157959649625,0.36528928526518883
BAW Mendis,123,229.5,142,303.4,5,6.1,40,74.8,1.8658536585365855,7.932026143790848,0.3259259259259259,0.026579520697167753,123,8.42948322021604,0.013183396162119568,0.5282866053063294,0.12250568599868651,0.008860249697946035,0.32247238287179525,0.6775276171282048,0.3701566586499874,11.0,6.705882352941177,5.351351351351351,0.0,0.439507639807769,0.42194077887250414,Medium Reliability,8.42948322021604,17.625272331154683,0.32247238287179525,0.5212436637608201,Low Risk Support,Strike Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.15715931894806437,0.1993533968353148,0.332527044309306,0.347124315699019,0.34365676664113,0.23729322887624069
BB Sran,301,596.1,435,988.8,11,26.1,103,184.1,1.9803986710963455,9.952692501258177,0.3088407985237376,0.04378459989934575,301,9.910033687435362,0.09126147424019766,0.47514688003547145,0.25577233877743055,0.08054772452678212,0.63417504976262,0.36582495023738004,0.29596656993437126,9.200000000000001,8.898305084745763,8.392156862745097,0.0,0.3175476345501943,0.4057066058307357,High Reliability,9.910033687435362,17.631269921154168,0.63417504976262,0.5215870518734157,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.14692979203722048,0.18750045262029405,0.28238418064766435,0.29207606968725264,0.29099701645646153,0.19397831356280468
BCJ Cutting,158,312.9,223,522.5,7,11.3,52,83.1,1.980379746835443,10.019175455417066,0.26558005752636626,0.03611377436880793,158,9.931207227725947,0.03094583945647776,0.3405933682296649,0.1963558588826388,0.022956101490132913,0.6386327491941637,0.3613672508058363,0.24080586927198838,12.413793103448278,7.224489795918368,8.70967741935484,0.0,0.3516623595470842,0.29816498303973105,Medium Reliability,9.931207227725947,15.08469159475871,0.6386327491941637,0.3757843669361741,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Poor Momentum Control",Middle,0.10836962999747668,0.13818612830144977,0.24750751006544935,0.2528571739407873,0.24731434942703254,0.17009823484173214
BE Hendricks,106,238.7,162,375.6,5,12.9,36,76.4,2.2518867924528303,9.441139505655636,0.3200670297444491,0.0540427314620863,106,9.509116468016655,0.015142802376844934,0.5100637307473561,0.3352295061095846,0.002013693113169554,0.5497693038848921,0.4502306961151079,0.32911218067951964,12.24,6.8,9.058823529411764,0.0,0.0,0.4500071701011195,Medium Reliability,9.509116468016655,18.705488060326772,0.5497693038848921,0.5830907124034043,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Weak vs Set Batters",Middle,0.15008117465202328,0.19508189166213522,0.17268221781273774,0.20549275122503122,0.2219483602590072,0.1319469262387833
BJ Hodge,118,269.3,150,356.90000000000003,8,20.400000000000002,38,91.60000000000001,2.2822033898305087,7.9517266988488675,0.3401411065725956,0.07575194949870034,118,8.458125784971829,0.021659957830170606,0.5724999597904693,0.5033841997431513,0.006846556584776481,0.32850254801553413,0.6714974519844659,0.45413458943429036,11.0,7.655172413793104,6.720000000000001,0.0,0.5583391891777659,0.4794692372741946,Medium Reliability,8.458125784971829,20.794652803564794,0.32850254801553413,0.7027044802907164,High Impact Control,Strike Bowler,High Impact Control,Weak at Death,Powerplay,0.18648101643741824,0.2344279401648377,0.40621552234258484,0.42336969399788676,0.418159464010713,0.2943486570969858
BW Hilfenhaus,222,473.8,280,667.2,11,26.8,98,185.3,2.1342342342342344,8.449134655972985,0.39109328830730267,0.056563951034191644,222,8.670475275871704,0.0652141503205333,0.7309760937750697,0.354758302771689,0.048731373338703185,0.37320882726227533,0.6267911727377247,0.4511790496495056,10.153846153846153,9.677419354838708,6.473684210526316,0.0,0.3774285064040166,0.5472210633631768,High Reliability,8.670475275871704,22.382861967074717,0.37320882726227533,0.7936363624486257,High Impact Control,Strike Bowler,High Impact Control,Weak at Death,Powerplay,0.2021876279176584,0.25690973425397606,0.3640852269941582,0.3878951379719728,0.3915826651342473,0.2632670271414111
Basil Thampi,293,703.4,405,1110.0,17,40.0,91,176.8,2.400682593856655,9.468296843901053,0.25135058288313905,0.05686664771111743,293,9.495254684181075,0.11411411411411411,0.2963355552505891,0.35710292277995037,0.07732581554571084,0.546850960278862,0.45314903972113796,0.3141395581801944,9.972972972972972,7.563025210084033,7.92,0.2987275830214872,0.3339403413391519,0.2741044950954245,High Reliability,9.495254684181075,15.410861529712825,0.546850960278862,0.3944590143126909,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Poor Momentum Control",Middle,0.2656768485008882,0.2632145397082819,0.2657000711419788,0.27655071911575513,0.2755606799578073,0.2787246596271366
Bipul Sharma,193,354.7,258,574.6,11,14.9,56,90.3,1.837823834196891,9.719763180152242,0.2545813363405695,0.042007330138144915,193,9.706072737368244,0.03984835899729518,0.30638414002870074,0.24200600911530784,0.03705195328231978,0.5912348234852203,0.4087651765147797,0.2624282907868009,23.0,7.372881355932204,7.826086956521739,0.0,0.336067893099632,0.38970096728181175,Medium Reliability,9.706072737368244,14.82943332393572,0.5912348234852203,0.36116972074498144,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,Weak at Death,Middle,0.12962001078131996,0.16859010750950112,0.2685814193943977,0.2761682561539803,0.2724862760383387,0.17774268792699474
C Green,217,435.2,275,615.2,12,22.1,73,139.4,2.005529953917051,8.481617647058824,0.3203125,0.05078125000000001,217,8.701020265254177,0.0569931633761421,0.5108272147785299,0.30996680824899336,0.04671768022553363,0.37963951291701736,0.6203604870829826,0.3945057176135233,7.153846153846153,7.582822085889571,8.142857142857142,0.0,0.46613883369062503,0.35157053960949786,High Reliability,8.701020265254177,18.5546875,0.37963951291701736,0.5744567244526763,Low Risk Support,Strike Bowler,No Strong Specialist Tag,Weak at Death,Death,0.15836966237863556,0.19352671633958535,0.3414326651621059,0.3552404112276502,0.35165875542379516,0.25803770581736435
C Sakariya,154,344.6,210,506.2,3,8.3,47,91.3,2.237662337662338,8.81369704004643,0.26494486360998254,0.0240858966918166,154,9.019464341069858,0.03769727173982494,0.3386177300376999,0.10319063835625515,0.02134514699959726,0.4466820554611801,0.5533179445388199,0.2898120597283114,9.857142857142858,8.166666666666668,7.852941176470589,0.0,0.32040791757627163,0.36086521498481483,Medium Reliability,9.019464341069858,14.451538015089957,0.4466820554611801,0.3395335707456649,Low Risk Support,Balanced Support Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.1297845692297397,0.16587109072822115,0.26103785848065536,0.27293141122469305,0.27140161833229504,0.18320817945651852
CH Gayle,282,601.7,356,871.8,10,16.8,92,196.5,2.1336879432624114,8.693368788432773,0.3265747050024929,0.02792089080937344,282,8.8379258426179,0.09245415628394353,0.5303044973055332,0.13289563555314549,0.07289569069673782,0.4084624639216172,0.5915375360783828,0.360835856711435,8.492307692307692,6.820143884892087,8.153846153846153,0.46294387700796774,0.38356774626923956,0.35783700360331866,High Reliability,8.8379258426179,17.724779790593317,0.4084624639216172,0.5269408985982705,Low Risk Support,Strike Bowler,No Strong Specialist Tag,No Major Weakness Tag,Middle,0.3631436129764527,0.35263292563598775,0.31060421423210394,0.32386462805494853,0.3227280335770583,0.34771821479492454
CH Morris,782,1793.6,1047,2669.5,40,83.7,270,524.4,2.2936061381074166,8.930084745762713,0.2923728813559322,0.04666592328278323,782,8.973542851679738,0.3463037505590697,0.42392685846464384,0.27809041812897634,0.27426500201369314,0.43701413057282257,0.5629858694271774,0.4168205724034659,8.028571428571428,8.026666666666667,8.040345821325648,0.532983793529558,0.37434163239585694,0.5217141852863165,High Reliability,8.973542851679738,16.951940231935772,0.43701413057282257,0.4826924725789232,Low Risk Support,Control Bowler,No Strong Specialist Tag,No Major Weakness Tag,Middle,0.46344472828416905,0.4623177674598449,0.3944205518994184,0.4036722774192874,0.4057962244196679,0.4159822541250013
CJ Anderson,144,321.0,245,627.1,5,12.1,30,50.1,2.2291666666666665,11.721495327102804,0.1560747663551402,0.037694704049844235,144,11.18843664182425,0.03267096884118162,0.0,0.20860138268375011,0.01731776077325816,0.9033192762289615,0.09668072377103853,0.08219095126011658,12.0,9.3,10.975609756097562,0.0,0.2586202292721771,0.2835848806445689,Medium Reliability,11.18843664182425,9.688473520249222,0.9033192762289615,0.06682741257302172,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Weak vs Set Batters, Poor Momentum Control",Middle,0.06568313402770319,0.09404162209216008,0.17124534634385652,0.16566754196759642,0.1568460780669934,0.08719809047447077
CJ Jordan,310,812.4,497,1468.6,13,28.400000000000002,86,206.5,2.6206451612903225,10.846381093057605,0.2541851304775973,0.03495814869522403,310,10.680665334052662,0.13732881817988202,0.30515182433017396,0.18740464374587779,0.08417237213048732,0.7964173675758202,0.20358263242417984,0.19878177490370436,11.533980582524272,7.872,9.878048780487804,0.20809945792363255,0.29388282735812365,0.2843445877029825,High Reliability,10.680665334052662,14.457163958641065,0.7964173675758202,0.339855680482701,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Weak vs Set Batters, Poor Momentum Control",Middle,0.1986177437665812,0.20624225674451618,0.22625782526796334,0.22723324278390322,0.22247819016118225,0.20293999573358773
CR Brathwaite,155,428.7,218,623.4,10,31.5,44,128.2,2.765806451612903,8.724982505248425,0.2990436202472591,0.0734779566130161,155,8.951383754754179,0.05560880028965136,0.444674800443311,0.4857703650867287,0.021747885622231178,0.4323489403206042,0.5676510596793958,0.39528301259946724,8.90909090909091,9.34020618556701,4.32,0.0,0.33953740713572583,0.5429098432179723,Medium Reliability,8.951383754754179,18.62607884301376,0.4323489403206042,0.5785441893402831,Low Risk Support,Death Specialist,No Strong Specialist Tag,Weak at Death,Powerplay,0.18351941247589734,0.23781039679769456,0.3305903914154115,0.3520544280374604,0.35484170831064754,0.22928286931026676
CR Woakes,154,318.0,190,394.5,15,29.1,65,133.9,2.064935064935065,7.443396226415094,0.4210691823899371,0.09150943396226416,154,7.985021569995221,0.03203203203203203,0.8242098601264699,0.6254381110326954,0.02134514699959726,0.22889915806661643,0.7711008419333836,0.5667542084132818,8.368421052631579,7.733333333333334,6.67605633802817,0.0,0.7783933991115056,0.5362927956052155,Medium Reliability,7.985021569995221,25.628930817610065,0.22889915806661643,0.9794879221644851,High Impact Control,Strike Bowler,"Set Batter Controller, High Impact Control",Weak at Death,Powerplay,0.22533424349404238,0.2789635230545639,0.5256538303133099,0.542342323849083,0.5317603643141717,0.38558213523755347
CRD Fernando,148,293.7,185,405.09999999999997,10,21.099999999999998,55,94.1,1.9844594594594593,8.27579162410623,0.32039496084439906,0.07184201566224038,148,8.623628998882943,0.026856643877920472,0.5110836920358437,0.47309873643035166,0.018928715263793798,0.36334620535602724,0.6366537946439728,0.42558668192669696,8.608695652173912,7.588235294117647,6.705882352941177,0.0,0.4727336484720829,0.6183280281506003,Medium Reliability,8.623628998882943,19.611848825331972,0.36334620535602724,0.6349838082056375,Low Risk Support,Strike Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.20198518199383336,0.26381798480889335,0.3993047961297821,0.4172803461356579,0.41492299780838865,0.26762070975466445
CV Varun,844,1608.2,1056,2252.3,50,70.2,315,540.7,1.9054502369668247,8.403059320979978,0.33621440119388135,0.04365128715333914,844,8.472979248678078,0.306817455753626,0.5602867617186921,0.25473972839393433,0.2992347966169956,0.3316296715768805,0.6683703284231195,0.47288101099536056,8.297872340425533,7.548042704626334,6.98936170212766,0.44846920513209393,0.4982982468175464,0.5691099196373581,High Reliability,8.472979248678078,18.993284417361025,0.3316296715768805,0.5995683055470423,Low Risk Support,Control Bowler,No Strong Specialist Tag,No Major Weakness Tag,Powerplay,0.45028310249643544,0.4623471739469619,0.4662935823858521,0.47370503131366104,0.4724341695225518,0.4458145745372264
D Wiese,109,309.1,156,485.3,3,10.5,30,66.8,2.8357798165137615,9.420252345519248,0.2161112908443869,0.03396958912973148,109,9.493515013035841,0.03013651949822163,0.1867310873647381,0.17974748490240527,0.003221908981071289,0.54648470451961,0.45351529548039005,0.23686873669440556,10.08,8.210526315789474,8.0,0.0,0.21613915453855234,0.2640810929077477,Medium Reliability,9.493515013035841,12.504043998705919,0.54648470451961,0.2280310681346731,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Weak vs Set Batters, Poor Momentum Control",Powerplay,0.09931263445692423,0.125720743747699,0.18832648863985854,0.2010453091333179,0.20208178824111056,0.1384586119326334
DE Bollinger,406,974.3,498,1285.3,30,77.8,160,353.3,2.3997536945812805,7.915221184440111,0.3626193164323104,0.07985220158062199,406,8.105792066433741,0.17181010798032076,0.6424137431885927,0.5351438251471193,0.12283527990334274,0.2543251645791247,0.7456748354208753,0.5345527502518311,7.288888888888889,5.384615384615385,7.732758620689655,0.6762342236172539,0.5766593324487799,0.4680858561972821,High Reliability,8.105792066433741,22.123575900646617,0.2543251645791247,0.7787911074410786,High Impact Control,Control Bowler,"Death Specialist, High Impact Control",No Major Weakness Tag,Middle,0.5265817586058158,0.5057669218638186,0.45365318114015574,0.47213372554773264,0.47002839643788524,0.5166368144803033
DJ Bravo,1581,3647.3,2059,5365.6,98,239.2,495,1034.0,2.306957621758381,8.826693718641186,0.2834973816247635,0.06558275984975187,1581,8.852031974606263,0.7411028049325923,0.3963214677494731,0.42461595636208865,0.5960531614981877,0.4114322505365544,0.5885677494634456,0.5409569340242258,8.95841584158416,7.372641509433963,6.921052631578947,0.6727582915982728,0.535257816694853,0.6475264023317743,High Reliability,8.852031974606263,17.45400707372577,0.4114322505365544,0.5114379828945462,Low Risk Support,Control Bowler,Death Specialist,No Major Weakness Tag,Powerplay,0.6245173992997736,0.6219942103731236,0.5712953821152474,0.5688255266080179,0.5691104824744866,0.5810318840729572
DJ Hooda,158,339.4,238,540.4,6,16.3,37,79.8,2.1481012658227847,9.553329404832057,0.23512080141426048,0.04802592810842664,158,9.577343400839258,0.03658978127063234,0.24585620510235406,0.288624707959708,0.022956101490132913,0.5641332295905304,0.43586677040946964,0.267233629595335,12.0,8.62809917355372,9.5,0.0,0.32201971584512046,0.2633438086581064,Medium Reliability,9.577343400839258,14.157336476134356,0.5641332295905304,0.3226892530791783,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Poor Momentum Control",Middle,0.10975339392106964,0.13608777478688028,0.23677528997427374,0.24624986206704458,0.24351055775455532,0.174740810230678
DJG Sammy,173,378.2,240,567.8,10,24.1,52,108.9,2.1861271676300578,9.00793231094659,0.28794288736118456,0.06372289793759917,173,9.152617359663052,0.04485336400230018,0.41014828612562293,0.41020988657591245,0.02899718082964156,0.4747149742430794,0.5252850257569206,0.35754911623853847,11.571428571428571,7.871559633027522,8.399999999999999,0.0,0.37436866605126456,0.344445004768753,Medium Reliability,9.152617359663052,17.583289264939186,0.4747149742430794,0.5188399506243849,Moderate Profile,Death Specialist,No Strong Specialist Tag,Weak at Death,Middle,0.1454036068993938,0.1798481073762691,0.2951047492972561,0.31069136857706464,0.30985039108642837,0.22224295683011452
DL Chahar,751,1279.2,974,1889.7,38,60.8,305,458.9,1.703328894806924,8.863508442776734,0.35873983739837395,0.04752970606629143,751,8.912804272080434,0.2367473856835559,0.6303474328120583,0.2847810842359636,0.2617801047120419,0.4242267398938535,0.5757732601061465,0.4462364627704932,11.076923076923077,7.5,7.614649681528663,0.0,0.35080733550245574,0.5465033840495038,High Reliability,8.912804272080434,20.313477173233267,0.4242267398938535,0.675155082692564,High Impact Control,Strike Bowler,High Impact Control,Weak at Death,Middle,0.2328016390068552,0.28745197741180556,0.3959983808707919,0.4099926551371164,0.41476411150051834,0.2879230679154947
DL Vettori,365,757.3000000000001,422,1005.1,12,25.5,120,219.4,2.0747945205479454,7.963290637792156,0.289713455697874,0.03367225670143932,365,8.166897504109006,0.1255936787851682,0.41565526964234545,0.1774444151509998,0.1063229963753524,0.2671897904778171,0.7328102095221829,0.40457486174674356,8.625,6.6970954356846475,6.1,0.39664220614559853,0.40247825904129747,0.36528915753188906,High Reliability,8.166897504109006,16.169285619965667,0.2671897904778171,0.43788209206913653,Low Risk Support,Strike Bowler,No Strong Specialist Tag,No Major Weakness Tag,Powerplay,0.3503745312882915,0.3472392264269205,0.3363335368825883,0.35135096028643015,0.35145579042170244,0.35743459749965945
DP Nannes,224,482.1,284,676.6,9,23.2,88,170.0,2.152232142857143,8.420659614187928,0.352623936942543,0.048122796100394105,224,8.645580784632104,0.0669818754925138,0.6113252000621202,0.289375025519959,0.049536850583971004,0.36796775005343996,0.63203224994656,0.41635229897998605,9.1,8.590909090909092,6.5,0.44204361122766483,0.4174358814581155,0.5834530248054426,High Reliability,8.645580784632104,20.037336652146855,0.36796775005343996,0.6593448368512919,High Impact Control,Control Bowler,High Impact Control,No Major Weakness Tag,Powerplay,0.39795618110585773,0.4120971224636355,0.37678860833321964,0.3950752016291139,0.3950210225052075,0.3679695262781294
DR Sams,126,232.6,200,421.5,6,11.0,43,70.0,1.846031746031746,10.872742906276871,0.3009458297506449,0.0472914875322442,126,10.526289702284014,0.01384363086490746,0.45059122635211557,0.28293589734148455,0.01006846556584777,0.7639164179691391,0.23608358203086088,0.23241806963584222,12.333333333333332,12.81081081081081,7.098591549295774,0.0,0.16862319889532038,0.20196369950935414,Medium Reliability,10.526289702284014,17.411865864144453,0.7639164179691391,0.5090252153626103,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Weak vs Set Batters, Poor Momentum Control",Powerplay,0.08990934217024084,0.11010571212117624,0.15952907003736305,0.1738362937778889,0.177026037314915,0.12820213746827813
DR Smith,241,541.8000000000001,405,1031.2,8,15.100000000000001,59,118.2,2.248132780082988,11.41971207087486,0.21816168327796231,0.027870062753783682,241,11.116192407188803,0.07969671799459035,0.19310840537078866,0.13250193292869944,0.056383407168747485,0.8881095815228781,0.11189041847712189,0.12187656254295358,12.48,8.896551724137932,13.571428571428571,0.0,0.3057348655531383,0.2782480884677044,High Reliability,11.116192407188803,12.301587301587299,0.8881095815228781,0.21643954168623947,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Poor Momentum Control",Middle,0.08066386498120617,0.10848867382797661,0.20440264270662714,0.19848438532482823,0.189291470174319,0.11835510920312121
DS Kulkarni,800,1559.0,1059,2306.1,39,74.2,321,560.4,1.94875,8.875304682488775,0.35946119307248237,0.047594611930724826,800,8.9210648557672,0.29633889208357295,0.632591059180322,0.28528383038418564,0.2815142972211035,0.42596585383981433,0.5740341461601857,0.4570891926036128,9.5625,8.20754716981132,7.512195121951219,0.39718785940237183,0.41556032428671436,0.5190400504659565,High Reliability,8.9210648557672,20.35279025016036,0.42596585383981433,0.6774059273297396,High Impact Control,Control Bowler,High Impact Control,No Major Weakness Tag,Powerplay,0.4130899870350295,0.425275206141388,0.4198292811886652,0.4306844693736356,0.43276091278948053,0.40747185133254643
DT Christian,557,1188.4,742,1806.7,18,37.1,180,341.8,2.133572710951526,9.121676203298552,0.2876135981151127,0.03121844496802423,557,9.16546132891004,0.21740889825996212,0.4091241006068972,0.15843774436391966,0.18364881192106325,0.47741903570966926,0.5225809642903307,0.3473919224268798,11.439252336448599,7.025454545454545,7.405714285714286,0.2157933827744756,0.4319502557306634,0.30053637990334636,High Reliability,9.16546132891004,15.941602154156849,0.47741903570966926,0.4248462233952165,Moderate Profile,Strike Bowler,No Strong Specialist Tag,Weak at Death,Middle,0.2565827816288954,0.26505708134178246,0.33486760847733404,0.33882684733743573,0.33459893067224655,0.306842487598663
DW Steyn,1284,2887.2,1444,3648.5,56,124.5,591,1190.8,2.2485981308411214,7.5820864505403165,0.41244111942366307,0.04312136325852037,1284,7.659715430213543,0.5792175153877283,0.797374069859624,0.25063505774057093,0.47643979057591623,0.16041193417863275,0.8395880658213672,0.6379842549232684,8.127090301003344,6.560553633217994,6.232758620689655,0.6344759910971671,0.46213077081391835,0.5530420351122783,High Reliability,7.659715430213543,22.778124134109174,0.16041193417863275,0.8162668406123618,High Impact Control,Control Bowler,High Impact Control,No Major Weakness Tag,Powerplay,0.5994325335777715,0.5912891379792826,0.5271381986533274,0.5440080960761625,0.55280077028163,0.5777048224927702
FH Edwards,102,234.6,130,356.9,5,9.8,38,69.6,2.3,9.127877237851662,0.2966751918158568,0.041773231031543054,102,9.300689866262962,0.014269588737673845,0.4373082978000653,0.24019273037426175,0.00040273862263391635,0.5058889167883043,0.4941110832116957,0.3106197969318734,10.666666666666666,9.0,5.1923076923076925,0.0,0.2202046859447154,0.27127192048520604,Medium Reliability,9.300689866262962,16.92242114236999,0.5058889167883043,0.48100237631485665,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Weak vs Set Batters, Poor Momentum Control",Powerplay,0.11840614809914435,0.14553334014766495,0.20906152113518675,0.2290931296000066,0.23361388514936454,0.16834926675508755
G Coetzee,101,220.3,164,346.6,8,18.7,37,81.8,2.1811881188118813,9.439854743531548,0.3713118474807081,0.08488424875170221,101,9.510508016607861,0.011223989947394208,0.6694500479785174,0.5741209245974792,0.0,0.5500622688439332,0.44993773115606683,0.4078759989119319,5.0,11.5,9.771428571428572,0.0,0.286159788172267,0.37678916006687324,Medium Reliability,9.510508016607861,22.809804811620516,0.5500622688439332,0.8180806971876365,Attacking but Expensive,Death Specialist,No Strong Specialist Tag,"Weak at Death, Weak vs Set Batters, Can Be Expensive",Death,0.15848737373801397,0.1961662897447013,0.2774827576016511,0.3039623680842309,0.31004817862121414,0.22038235719922616
GB Hogg,246,559.9,310,752.1,11,26.6,82,189.8,2.2760162601626015,8.059653509555279,0.3389891051973567,0.04750848365779604,246,8.328838326897634,0.08355163674312611,0.5689168997903428,0.28461670025895025,0.05839710028191704,0.30128345189586603,0.698716548104134,0.4336299673859661,7.2631578947368425,7.7368421052631575,7.285714285714285,0.0,0.4688178304455097,0.4724134228864143,High Reliability,8.328838326897634,19.324879442757638,0.30128345189586603,0.6185535629465632,Low Risk Support,Strike Bowler,No Strong Specialist Tag,Weak at Death,Death,0.18802907032174124,0.23527041261038265,0.3786558371360862,0.3956580873383114,0.3938986941853343,0.27597511808577596
GD McGrath,133,239.5,157,304.59999999999997,10,18.7,57,90.6,1.800751879699248,7.63089770354906,0.37828810020876824,0.07807933194154489,133,8.183446863295769,0.01531318552595149,0.6911482270240951,0.5214115778359325,0.012887635924285143,0.2706739536374403,0.7293260463625597,0.5013618186202227,7.666666666666666,6.666666666666667,7.051546391752577,0.0,0.6404799639367489,0.6896491972934136,Medium Reliability,8.183446863295769,22.818371607515655,0.2706739536374403,0.8185711835119226,High Impact Control,Strike Bowler,"Momentum Breaker, High Impact Control",Weak at Death,Middle,0.23072097963771046,0.2996858993670518,0.49001580867645755,0.5074836105454281,0.5005277032796018,0.33057386562408164
