bowler,death_balls,death_runs_conceded,death_pressure_exposure,death_weighted_runs_conceded,death_wickets,death_weighted_wickets,death_dot_balls,death_weighted_dot_balls,death_economy_raw,death_pressure_economy_raw,death_dot_rate_raw,death_wicket_rate_raw,death_pressure_exposure_norm,death_dot_rate_raw_norm,death_wicket_rate_raw_norm,death_balls_norm,death_eco_temp,death_pressure_economy_norm,death_bowler_score
CH Gayle,65,92,220.8,359.5,5,11.8,24,65.0,8.492307692307692,9.769021739130434,0.36923076923076925,0.07692307692307693,0.02096091924995265,0.7621067935500925,0.4142011834319528,0.010989010989010978,0.36160216392810085,0.6383978360718991,0.46294387700796774
CH Morris,210,281,679.9,1005.4,20,46.800000000000004,56,160.70000000000002,8.028571428571428,8.872481247242241,0.26666666666666666,0.09523809523809523,0.3108150767093881,0.36832760595647174,0.5311355311355311,0.3296703296703297,0.21856608103509623,0.7814339189649038,0.532983793529558
CJ Jordan,103,198,399.9,793.6999999999999,4,15.0,23,86.0,11.533980582524272,11.90847711927982,0.22330097087378642,0.038834951456310676,0.13403623966159478,0.20183164848363522,0.17102315160567588,0.0945054945054945,0.7029356785543381,0.29706432144566186,0.20809945792363255
CV Varun,94,130,261.6,414.9,6,14.0,32,86.6,8.297872340425533,9.516055045871559,0.3404255319148936,0.06382978723404255,0.046720121219773994,0.6515134898003947,0.3306055646481179,0.07472527472527471,0.32124328975172056,0.6787567102482794,0.44846920513209393
DE Bollinger,135,164,442.0,562.4,17,52.5,49,148.8,7.288888888888889,7.634389140271493,0.362962962962963,0.1259259259259259,0.16061620051770942,0.7380425098638157,0.7270655270655271,0.16483516483516483,0.021038086656535837,0.9789619133434642,0.6762342236172539
DJ Bravo,505,754,1651.2,2736.6,57,176.5,148,433.5,8.95841584158416,9.944040697674419,0.29306930693069305,0.11287128712871287,0.9240482353683944,0.46969650573304733,0.6437166793602438,0.9780219780219781,0.38952508150812104,0.610474918491879,0.6727582915982728
DL Vettori,64,92,216.2,356.9,6,16.1,17,57.6,8.625,9.904717853839038,0.265625,0.09375,0.018056695498453165,0.36432828608247414,0.5216346153846154,0.008791208791208788,0.38325142671916645,0.6167485732808335,0.39664220614559853
DP Nannes,60,91,202.1,312.8,5,16.0,18,64.2,9.1,9.286491835724888,0.3,0.08333333333333333,0.00915461834711788,0.4963058419243984,0.45512820512820523,0.0,0.2846182598140674,0.7153817401859326,0.44204361122766483
DS Kulkarni,96,153,316.2,561.0,7,25.4,32,98.4,9.5625,10.64516129032258,0.3333333333333333,0.07291666666666667,0.08119199444409368,0.6242840778923251,0.388621794871795,0.07912087912087912,0.5013834349404405,0.49861656505955954,0.39718785940237183
DT Christian,107,204,344.9,703.0,6,17.5,25,70.5,11.439252336448599,12.229631777326762,0.2336448598130841,0.056074766355140186,0.0993118252414925,0.24154542826861924,0.2810927390366643,0.10329670329670329,0.754173413721358,0.24582658627864196,0.2157933827744756
DW Steyn,299,405,1015.0,1484.9,25,68.8,103,321.1,8.127090301003344,8.777733990147784,0.34448160535117056,0.08361204013377926,0.5223814634762295,0.6670861635003273,0.4569076408541292,0.5252747252747253,0.20344989092180277,0.7965501090781972,0.6344759910971671
HH Pandya,104,157,331.8,574.6999999999999,12,42.1,38,115.7,9.057692307692307,10.392405063291138,0.36538461538461536,0.11538461538461539,0.09104110107961362,0.7473400740153315,0.6597633136094676,0.09670329670329669,0.4610581390185011,0.5389418609814989,0.4933768237007562
HV Patel,331,492,1083.1,1680.5,30,88.2,98,308.6,8.91842900302115,9.309389714707784,0.29607250755287007,0.09063444108761329,0.5653766020582106,0.4812268352695672,0.5017429700209156,0.5956043956043956,0.28827143883487594,0.7117285611651241,0.5900658873350612
Harbhajan Singh,83,100,236.2,323.4,14,32.7,30,70.6,7.2289156626506035,8.215071972904317,0.3614457831325301,0.1686746987951807,0.030683755287581285,0.7322175299134681,1.0000000000000002,0.050549450549450536,0.11368152946198551,0.8863184705380145,0.6663124790190811
I Sharma,126,201,512.8,845.6,7,29.8,42,171.8,9.571428571428573,9.893915756630268,0.3333333333333333,0.05555555555555555,0.20531599217122287,0.6242840778923251,0.27777777777777785,0.14505494505494507,0.38152803587876183,0.6184719641212382,0.44218045190763183
IK Pathan,153,203,554.1,846.4,13,49.7,50,159.2,7.96078431372549,9.165132647536545,0.32679738562091504,0.08496732026143791,0.2313908706357724,0.5991903061339081,0.4655605832076422,0.20439560439560442,0.26525634246778385,0.7347436575322162,0.525258649039512
Imran Tahir,83,98,264.3,354.6,11,30.3,33,91.8,7.0843373493975905,8.049943246311011,0.39759036144578314,0.13253012048192772,0.048424774291306275,0.8709891110835091,0.7692307692307694,0.050549450549450536,0.08733652169187134,0.9126634783081287,0.6597948546693417
JA Morkel,135,192,478.8,724.2,15,47.3,36,107.3,8.533333333333333,9.075187969924812,0.26666666666666666,0.1111111111111111,0.18384999052970513,0.36832760595647174,0.6324786324786326,0.16483516483516483,0.2509063666674036,0.7490936333325964,0.506405034416402
JC Archer,83,151,288.5,612.2,1,3.6,17,50.3,10.91566265060241,12.732062391681108,0.20481927710843373,0.012048192771084338,0.06370351663615127,0.13087401150995726,0.0,0.050549450549450536,0.8343323219391185,0.16566767806088145,0.09876896217366771
JD Unadkat,254,469,883.2,1754.8999999999999,22,64.0,67,213.4,11.078740157480315,11.921875,0.2637795275590551,0.08661417322834646,0.4391691394658753,0.3572428768568876,0.476075105996366,0.4263736263736264,0.7050732065239296,0.2949267934760704,0.3784007078445193
