bowler,set_batter_balls,set_batter_runs,set_batter_pressure_exposure,set_batter_weighted_runs,set_batter_wickets,set_batter_weighted_wickets,set_batter_dot_balls,set_batter_economy_raw,set_batter_dot_rate_raw,set_batter_wicket_rate_raw,set_batter_pressure_exposure_norm,set_batter_dot_rate_raw_norm,set_batter_wicket_rate_raw_norm,set_batter_balls_norm,set_batter_eco_temp,set_batter_economy_norm,set_batter_control_score
Gurkeerat Singh,25,19,60.300000000000004,46.7,3,5.1,9,4.5600000000000005,0.36,0.12,0.0005585136091149426,0.6705202312138727,0.696,0.0009216589861751161,0.0,1.0,0.6569780750629971
H Sharma,25,54,68.7,156.0,0,0.0,2,12.96,0.08,0.0,0.0036861898201586175,0.0838150289017341,0.0,0.0009216589861751161,0.8966148215919487,0.10338517840805128,0.05759935454888484
HF Gurney,35,60,113.3,202.3,1,4.6,6,10.285714285714285,0.17142857142857143,0.02857142857142857,0.020292661131176226,0.27539223781998345,0.1657142857142857,0.010138248847926266,0.6111619396157364,0.3888380603842636,0.2411273287302555
HH Pandya,249,351,654.5,1010.8000000000001,19,52.1,73,8.457831325301205,0.2931726907630522,0.07630522088353414,0.22180437129984737,0.5304919098358752,0.44257028112449803,0.20737327188940094,0.41605396884886287,0.5839460311511371,0.46843590890569126
HR Shokeen,36,58,89.4,157.8,0,0.0,10,9.666666666666668,0.2777777777777778,0.0,0.011393677625944822,0.49823378291586384,0.0,0.011059907834101386,0.5450848836027244,0.45491511639727555,0.286024095014017
HV Patel,541,746,1463.4,2131.2000000000003,29,74.9,162,8.273567467652494,0.29944547134935307,0.053604436229205174,0.5229921435752319,0.5436357419892514,0.31090573012939,0.47649769585253454,0.396385670533203,0.603614329466797,0.5093040807793464
Harbhajan Singh,764,926,1867.3,2400.3,49,119.8,246,7.272251308900524,0.3219895287958115,0.06413612565445026,0.6733812413895819,0.590874012650183,0.3719895287958115,0.6820276497695853,0.28950532421933,0.71049467578067,0.6063304345608593
Harmeet Singh,137,206,417.5,615.4,3,10.2,30,9.021897810218977,0.21897810218978103,0.021897810218978103,0.13355922105968648,0.3750263701953504,0.12700729927007298,0.10414746543778802,0.47626234631797554,0.5237376536820244,0.3262368998413082
Harpreet Brar,153,213,397.8,585.8000000000001,8,22.4,45,8.352941176470587,0.29411764705882354,0.05228758169934641,0.12622407565997695,0.532471948316899,0.3032679738562091,0.11889400921658988,0.40485800907737274,0.5951419909226272,0.42658308716104276
Harshit Rana,67,127,213.4,455.2,7,20.3,17,11.373134328358208,0.2537313432835821,0.1044776119402985,0.05756413597944671,0.4478474678629971,0.6059701492537313,0.03963133640552995,0.7272330024170091,0.27276699758299094,0.33834389320904
