batter,pressure_balls,pressure_exposure,total_runs,weighted_runs,total_boundaries,weighted_boundaries,dismissals,weighted_dismissals,pressure_avg_score_per_ball,pressure_adjusted_sr_raw,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,reliability_raw,pressure_adjusted_sr_reliable,pressure_adjusted_sr_reliable_norm,pressure_exposure_norm,pressure_boundary_rate_raw_norm,reliability_raw_norm,pressure_dismissal_rate_norm_temp,pressure_dismissal_rate_norm,batter_clutch_index
Arshad Khan,34,126.3,58,207.1,8,27.9,1,4.9,3.7147058823529413,163.97466349960413,0.2209026128266033,0.03879651623119557,34,124.23922299146047,0.47132265612172064,0.029524685015951978,0.4612178795076658,0.0014657383657017235,0.11084718923198733,0.8891528107680127,0.352751823209685
Ashutosh Sharma,90,264.3,153,452.1,21,62.4,4,13.7,2.936666666666667,171.05561861521,0.23609534619750283,0.05183503594400302,90,144.68544176903598,0.624992003747398,0.06683610014600119,0.4929384652426651,0.021986075485525836,0.1481001026971515,0.8518998973028485,0.425792692367673
Atharva Taide,105,185.2,138,245.0,18,33.5,4,7.6000000000000005,1.7638095238095237,132.28941684665227,0.1808855291576674,0.041036717062634995,105,120.9764189754492,0.4468001285079206,0.04544962958957443,0.3776670593625238,0.027482594356907288,0.11724776303609998,0.8827522369639,0.33685764907538784
Azhar Mahmood,131,175.7,152,150.1,20,17.9,8,17.0,1.3412213740458014,85.42970973249858,0.10187820147979511,0.09675583380762665,131,88.68645385222902,0.204115751053093,0.04288109014221597,0.2127093358169056,0.037009893733968485,0.2764452394503618,0.7235547605496382,0.2000358789372753
B Chipli,116,131.0,122,151.4,15,21.200000000000003,7,11.6,1.1293103448275863,115.57251908396947,0.16183206106870232,0.08854961832061069,116,110.04438786769033,0.36463735274835696,0.030795436110960903,0.33788572750404827,0.031513374862587026,0.25299890948745907,0.7470010905125409,0.2821240027277844
B Kumar,233,1048.2,207,919.4,23,101.2,20,99.8,4.498712446351932,87.71226865102079,0.09654646059912231,0.09521083762640717,233,89.39192497520841,0.20941791906842766,0.2787811604390851,0.2015773071296827,0.0743862220593624,0.2720309646468776,0.7279690353531224,0.2537148326288571
B Lee,49,187.9,60,226.8,8,30.2,5,17.0,3.8346938775510204,120.70250133049494,0.16072378924960085,0.09047365620010643,49,108.84220946959991,0.35560204053860744,0.04617963553777105,0.33557179028174244,0.006962257237083181,0.25849616057173264,0.7415038394282674,0.27700723439364777
B Sai Sudharsan,340,303.9,416,376.4,48,46.0,11,12.1,0.8938235294117647,123.85653175386639,0.15136558078315238,0.03981572885817703,340,120.44147940669411,0.4427796386831755,0.07754285405288487,0.316032985332097,0.11359472334188347,0.11375922530907721,0.8862407746909228,0.34568866005403653
BA Stokes,412,473.6,584,641.7,79,84.4,21,34.1,1.1495145631067962,135.49408783783784,0.17820945945945946,0.07200168918918919,412,131.35177567421064,0.5247790600955553,0.12342507975990917,0.37207975020475026,0.13997801392451448,0.20571911196911194,0.794280888030888,0.3908333934126825
BB McCullum,939,847.2,1199,873.3,179,124.0,48,59.0,0.9022364217252397,103.08073654390935,0.14636449480642114,0.06964117091595845,939,102.78439614461782,0.31007282891200083,0.22443627318444817,0.3055913240049218,0.3330890436057164,0.19897477404559555,0.8010252259544044,0.34482096393872613
